장소,별점,수정된 주소,위도,경도
무화커피,4.54,대구 수성구 국채보상로186길 81,35.8636023,128.6341765
구삼커피,4.7,대구 중구 봉산문화2길 16-3,35.8638658,128.596748
삼송빵집 본점,4.28,대구 중구 중앙대로 397,35.8579739,128.5922977
커들포드,4.48,대구 동구 팔공로 1334,35.9551193,128.688228
랜디스도넛 대구동성로점,4.48,대구 중구 동성로6길 56,35.8691016,128.5952997
161커피스튜디오,4.4,대구 달성군 현풍읍 비슬로,35.6771333,128.4462937
카페베버,4.91,대구 중구 국채보상로150길 83,35.8665792,128.6116577
연화,4.65,대구 동구 동부로34길 3,35.873131,128.6334272
아눅 앞산,4.51,대구 남구 앞산순환로 459,35.83236,128.5751443
초이스엠,4.48,대구 동구 팔공산로 260,35.9671985,128.6988235
얼디,4.69,대구 중구 달구벌대로445길 26-5,35.8643327,128.6078914
스테이블모먼트 월배점,4.53,대구 달서구 조암남로32길 24,35.8187152,128.5152352
아리츠,4.6,대구 중구 남성로 47,35.8683,128.58952
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1,35.8683,128.58952
민스크,4.39,대구 남구 현충로6길 9-2,35.8345435,128.5811142
커피플라자,4.61,대구 남구 앞산순환로87길 49,35.8329475,128.5729974
맨션5,4.41,대구 중구 중앙대로79길 28,35.86927,128.591141
오마모리 앞산,4.49,대구 남구 대명남로 167,35.83491,128.5687085
마고플레인비스타,4.51,대구 동구 혁신대로 104,35.8747285,128.7420094
베를린 에스프레소 바,4.65,대구 달서구 미리샘길 82,35.8073511,128.5440062
샌디레이크,4.45,대구 중구 경상감영길 192,35.8708028,128.5859117
명덕빵앗간,4.67,대구 남구 명덕로40길 72,35.8527927,128.5898771
온더레일,4.42,대구 달성군 가창면 가창로93길,35.7486292,128.620761
목련양과,4.7,대구 수성구 들안로8길 29,35.8345878,128.6193821
할타보카 만촌점,4.62,대구 수성구 교학로 3,35.8542149,128.65361386806902
데우스커피,4.65,대구 수성구 동대구로14길 15-6,35.8370163,128.6247382
성당못빌,4.53,대구 남구 성당로 54-5,35.8420667,128.56145545176585
더크,4.83,대구 남구 안골길 42,35.8368029,128.5767763
카펠라,4.35,대구 남구 앞산순환로 449,35.8331478,128.5827782
카페달달 동성로본점,4.56,대구 중구 동성로3길 20,35.8660946,128.5975558
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
코타커피,4.54,대구 중구 봉산문화길 86,35.8623471,128.5975661
더기커피,4.72,대구 중구 중앙대로 376-20,35.8553663,128.5906658
아눅 베이커스,4.59,대구 수성구 동대구로58길 15,35.85631155,128.62669837331651
팜테이블 수성못점,4.46,대구 수성구 용학로 115,35.822718,128.6393846
우즈베이커리카페수성호수점,4.43,대구 수성구 수성못6길 3,35.8266213,128.6247731
티클래스,4.6,대구 중구 동성로2길 87,35.8698462,128.59705520620392
민월재,4.77,대구 북구 고성로 159-4,35.8811615,128.5821946
구트커피,4.54,대구 중구 동성로 19-9,35.868894749999995,128.5946384461165
삼송빵집 동대구역사점,4.47,대구 동구 동대구로 550,35.8791851,128.6283056
넌테이블,4.67,대구 중구 경상감영길 62,35.8708028,128.5859117
더아양,4.35,대구 동구 효동로2길 31,35.8805196,128.6528605
도케비커피 본점,4.51,대구 달성군 유가읍,35.6940422,128.4597255
바우어,4.34,대구 수성구 용학로 361,35.822718,128.6393846
르폴뒤,4.5,대구 중구 동성로1길 26,35.8671397,128.59526
씨티씨커피로스터스,4.73,대구 중구 명륜로12길 67,35.8630954,128.5877797
호랑이빵집X에브리블랙,4.51,대구 수성구 달구벌대로495길 10,35.8622465,128.6346078
오브너,4.72,대구 중구 봉산문화1길 13,35.8623973,128.5981549
까사넬로,4.63,대구 중구 교동1길 47,35.8738107,128.5972516
루나루이스,4.45,대구 달서구 대명천로 245,35.8394646,128.5467854
스타벅스 대구그랜드호텔R점,4.59,대구 수성구 동대구로 305,35.8576652,128.62514366542842
로맨스빠빠,4.52,대구 중구 국채보상로 492-6,35.8705663,128.5823058
카페오하이오 교동,4.61,대구 중구 국채보상로 629,35.8705663,128.5823058
코러스커피,4.77,대구 중구 국채보상로 625,35.8705663,128.5823058
윈드윈,4.66,대구 중구 달구벌대로405길 42,35.8666726,128.5843457
읍천리382 본점,4.51,대구 남구 안골길 17-1,35.8368029,128.5767763
게이블루프커피,4.42,대구 달성군 다사읍 강정본길,35.8428406,128.4642197
퀸즈크라운베이커리카페,4.46,대구 서구 서대구로 118,35.8816552,128.5553203
인더매스 삼덕,4.58,대구 중구 공평로8길 29,35.8665694,128.6015693
두낫디스터브 동대구점,4.7,대구 동구 동부로30길 9,35.87688835,128.62946308007076
헤이차일드,4.64,대구 동구 동부로32길 9,35.8723995,128.6297391
아트플렉스 수성못,4.4,대구 수성구 용학로 92-4,35.822718,128.6393846
카페 담,4.38,대구 달성군 유가읍,35.6940422,128.4597255
브릭62,4.64,대구 중구 봉산문화길 62,35.8623471,128.5975661
핸즈커피 성북교점,4.52,대구 북구 침산로 198,35.8780882,128.5886087
리시트,4.64,대구 북구 고성북로 28-10,35.8823486,128.5831219
도우맨도넛,4.72,대구 동구 동부로30길 3-5,35.87667435,128.6294643578452
최가네케익,4.47,대구 중구 동성로1길 29-6,35.8671397,128.59526
바닐라크럼브,5.0,대구 중구 봉산문화2길 2,35.8638658,128.596748
핸즈커피 동촌유원지점,4.48,대구 동구 효동로6길 5-6,35.8793815,128.6546749
피카커피,4.49,대구 북구 학정로110길 24-1,35.9524936,128.567793
슬로울리 인 무학,4.24,대구 수성구 무학로 189,35.8308077,128.62888191189143
빌리웍스,4.47,대구 북구 고성북로10길 41,35.8831445,128.58849
하프커피 대구,4.5,대구 동구 동부로 149,35.8765658,128.6262441
헤이트커피,4.89,대구 중구 교동4길 33-18,35.8728013,128.5993669
스타벅스 수성레이크점,4.5,대구 수성구 수성못길 4,35.8277462,128.6218398
카페스톤,4.34,대구 군위군 부계면 한티로,36.0268872,128.6315373
푸푸커피 대구 본점,4.49,대구 달서구 와룡로 169,35.8435651,128.5370638
대봉정,4.48,대구 중구 명덕로 249,35.8565759,128.595102
스타벅스 대구팔공산점,4.49,대구 동구 파계로 650,35.9935142,128.6378505
세비지커피,4.8,대구 동구 효신로6길 33,35.876587,128.6339552
오퐁드부아 티 하우스,4.47,대구 달성군 가창면,35.7778073,128.6476679
피플스커피,4.51,대구 중구 봉산문화길 4,35.8623471,128.5975661
덴스크 대구혁신도시점,4.54,대구 동구 이노밸리로 140,35.8870985,128.7061525
핸즈커피 대구다운타운점,4.67,대구 중구 동성로5길 53,35.8673876,128.5977543
두낫헤지테이트,4.55,대구 북구 동천로 127,35.94306745,128.56049519826945
우즈베이커리카페,4.4,대구 동구 송라로10길 2,35.8722977,128.6198871
이이알티 대구,4.6,대구 중구 대봉로 233-1,35.8600276,128.6022248
노다웃,4.67,대구 달서구 서당로7길 64,35.8540671,128.4930283
슬로우터틀 약전골목점,4.57,대구 중구 남성로 53,35.8683,128.58952
모모상점,4.5,대구 중구 국채보상로150길 30,35.8665792,128.6116577
나리꼬모 본점,4.41,대구 수성구 달구벌대로 2683,35.8529892,128.6582164
빠다롤 더 테라스,4.43,대구 달서구 조암남로14길 42,35.8225919,128.5253553
블랙베어도넛 대구점,4.45,대구 중구 봉산문화1길 20,35.8623973,128.5981549
카페 몰리스,4.69,대구 달서구 야외음악당로39동길 32,35.8555515,128.554837
벨빌베이크하우스 팔공산점,4.47,대구 동구 파계로 512,35.9935142,128.6378505
수수밀소,4.39,대구 동구 매여로 320,35.8913013,128.7090236
우즈베이커리 성서점,4.42,대구 달서구 달서대로 573,35.8132605,128.5118292
미드웨이,4.61,대구 중구 동덕로14길 21,35.8600126,128.6066946
더 댄스,4.75,대구 중구 국채보상로102길 35,35.8691264,128.5859813
대봉당1297,4.25,대구 중구 동덕로 14-1,35.8599293,128.604328
파계마루,4.42,대구 동구 파계로 613,35.9935142,128.6378505
우니카트,4.55,대구 수성구 범어천로 151-4,35.856474,128.6224319
라봉봉제과점,4.55,대구 수성구 지범로21길 10,35.8247621,128.6366747
보정당,4.68,대구 동구 반야월로 222,35.8723298,128.7208744
슬로우터틀 중앙대로점,4.63,대구 중구 중앙대로 412-52,35.87506,128.5949
크리스피크림도넛 대구동성로중앙점,4.52,대구 중구 중앙대로 392-1,35.8553663,128.5906658
소문난팥빙수단팥죽,4.44,대구 중구 큰장로26안길 11,35.8666232,128.5776131
핸즈커피 호산점,4.52,대구 달서구 호산동로 148,35.8432258,128.4858234
스타벅스 대구칠곡대로DT점,4.61,대구 북구 칠곡중앙대로 348-1,35.9256629,128.5472804
김진수로스터리카페,4.48,대구 중구 이천로 205,35.8611039,128.5999981
에프에프커피,4.65,대구 중구 공평로10길 30-18,35.8678581,128.6014672
우리밀 제빵소 레헴,4.78,대구 달성군 다사읍 대실역북로2길,35.8649269,128.4658675
커피팀버 월성점,4.59,대구 달서구 조암남로20길 41,35.8215971,128.5211538
커피매거진,4.56,대구 중구 동성로4길 85,35.86861115,128.59933611308855
카르멜,4.45,대구 달성군 다사읍 달구벌대로,35.8674805,128.4239516
아침을기다리는빵,4.44,대구 북구 동천로24길 17,35.94193645,128.56243528672437
스타벅스 동대구터미널점,4.53,대구 동구 동부로30길 12,35.8708792,128.6290606
