장소,별점,주소
올바릇 나사리식당,NaN,대구 동구 팔공산로 1179 1층~3층
산채식당,4.38,대구 동구 팔공산로185길 72
산중식당 팔공산본점,4.33,대구 동구 팔공산로185길 55 1층
올바릇 나사리식당,NaN,대구 동구 팔공산로 1179 1층~3층
산채식당,4.38,대구 동구 팔공산로185길 72
탑골식당,4.49,대구 동구 동화사2길 21-7 1층
째미핑거,4.59,대구 동구 팔공산로 1165-7
티아이티에프,NaN,대구 동구 팔공산로 1169
수다레스토랑,4.59,대구 동구 동화사2길 21-10
가원식당,4.84,대구 동구 팔공산로199길 6-3 가원식당
동백 팔공산화본역점,4.8,대구 군위군 산성면 산성가음로 711-6
효령매운탕,4.54,대구 군위군 효령면 치산효령로 2267-8
Camellia,NaN,대구 군위군 산성면 산성가음로 711
추추,NaN,경북 의성군 금성면 탑리5길 34
올더플레이트 동성로점,4.76,대구 중구 동성로3길 77 2층
하이타이,NaN,대구 중구 공평로 53 1층 하이타이
참숯삼인조 종로직영점,NaN,대구 중구 중앙대로81길 53 1층
배배꼬 동성로점,NaN,대구 중구 동성로6길 76 1층
사파키친,4.59,대구 동구 동부로34길 10 사파키친
모닥 동대구점,4.82,대구 동구 동부로34길 6 모닥 1층
심지,NaN,대구 동구 동부로32길 14
딤딤섬 신세계백화점대구점,4.48,대구 동구 동부로 149 대구신세계백화점 9층
라일락식탁,NaN,대구 동구 동부로32길 1 2층
연화,4.65,대구 동구 동부로34길 3 연화
인문공학,4.45,대구 동구 동부로 156 인문공학 동대구
바비레드 신세계백화점 대구점,4.43,대구 동구 동부로 149 신세계백화점 대구점 지하 1층
피에프창 신세계백화점동대구점,4.65,대구 동구 동부로 149 신세계 백화점 8층
프랭크프랭크,4.54,대구 동구 동부로32길 20-1
도리신닭도리탕 대명점,NaN,대구 남구 중앙대로31길 161 도리신 닭도리탕
기장아나고,4.45,대구 남구 두류공원로 108-4
뉴욕뉴욕 바이 켄싱턴,NaN,대구 달서구 두류공원로 200 이월드 83타워 78층
애슐리퀸즈 대구이월드점,NaN,대구 달서구 두류공원로 200 83타워 1층 애슐리퀸즈
오얏,4.71,대구 달서구 야외음악당로 287-1
석뚜껑 삼겹살 두류점,4.51,대구 달서구 파도고개로 202 1층
피자몰 대구이월드점,4.43,대구 달서구 두류공원로 200 스타벅스 옆
윤포차,4.38,대구 달서구 파도고개로 190 1층 윤포차
웨이브콜,NaN,대구 달서구 파도고개로 115 1층
몽짬뽕 달서구직영점,4.35,대구 달서구 야외음악당로 277 1층
애하인앞산,NaN,대구 남구 용두2길 26 1층
봉수낙지,4.5,대구 남구 대명로14길 112
사조회참치,NaN,대구 서구 달서천로57길 37 1층 사조회참치
백색라이브,NaN,대구 서구 국채보상로 238 지하 백색7080라이브
사석,NaN,대구 중구 중앙대로 375 YMCA 건물 1층 사석
수주식당,4.51,대구 중구 중앙대로81길 58 1층 수주식당
경희식당,4.34,대구 중구 큰장로28길 25
몽블랑드파리,NaN,대구 중구 동성로6길 21
구공탄막창,NaN,대구 서구 국채보상로 308 1층
빠레뜨한남 대구 동성로점,NaN,대구 중구 동성로2길 58 2층 빠레뜨한남
유창반점,NaN,대구 중구 명륜로 20 1층
신라식당,4.39,대구 중구 중앙대로 406-8
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언
롤링핀 대구수목원점,NaN,대구 달서구 한실로6길 158
뜨돈 진천본점,4.49,대구 달서구 진천로9길 30
킹콩 G.C점,NaN,대구 달서구 화암로 322 1~2층
동이식당,4.4,대구 달서구 한실로6길 165-7
계령식당,4.36,대구 달서구 한실로6길 155-15 1층
WANN,4.32,대구 달서구 한실로6길 161
하루부엌,4.57,대구 달서구 화암로71길 19 하루부엌
서남왕족발,4.33,대구 달서구 명천로 14
일공공샤브 대구수목원점,4.38,대구 달서구 화암로 331
디어원케이크,NaN,대구 수성구 교학로4길 10
울진대게 본점,4.45,대구 수성구 명덕로 450-1 울진대게
류센소 범어점,NaN,대구 수성구 달구벌대로496길 5 1층 류센소 범어점
리안,4.48,대구 수성구 교학로4길 48
후꾸스시,4.55,대구 수성구 동대구로20길 66 후꾸
에폰베이크샵,NaN,대구 수성구 범어로24길 14 1층
공주얼큰이칼국수,NaN,대구 수성구 범어천로 49 공주얼큰이칼국수
황금돗소리,NaN,대구 수성구 범어천로 22 . 1층(황금동) 황금돗소리
오스테리아밀즈,4.55,대구 수성구 동원로1길 26 1층
고미텐,4.63,대구 수성구 동원로 6 1층
광장코아 물음표 soju & beer 본점,NaN,대구 달서구 달구벌대로344길 46
bistro053,NaN,대구 달서구 당산로38길 13 1층
현짬뽕,4.55,대구 남구 대봉로 89
조조칼국수 죽전직영점,4.52,대구 달서구 와룡로 169
상무초밥 죽전점,NaN,"대구 달서구 와룡로 169 상가 103동 109, 110호"
해풍해물칼국수 대구본점,4.57,대구 달서구 야외음악당로39안길 8
달고떡볶이,4.45,대구 달서구 야외음악당로39길 54 삼정그린빌상가 113동 107호
제주곤이칼국수 대구죽전점,NaN,대구 달서구 달구벌대로 1546 1층
푸른회식당,4.46,대구 서구 달구벌대로375길 14-1
정성순대 대구죽전점,NaN,"대구 달서구 와룡로 169 상가 107동 106, 107호"
몽돌매운간장닭발&치킨,NaN,대구 동구 효동로6길 30 2층(효목동)
블루샥 대구 효목점,4.52,대구 동구 효목로 20-1 1층 블루샥 효목점
청담한쭈꾸미,NaN,대구 동구 효동로2길 47-7
로렐트리 동촌유원지 본점,4.71,대구 동구 효동로6길 122 로렐트리
마루막창 대구동촌유원지점,4.4,대구 동구 효동로2길 33-7 1층 마루막창 동촌점
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57 인스퍼레이션디 동촌유원지
민물장어 직판장 풍천관 동촌유원지점,NaN,대구 동구 효동로2길 47-7 2층 풍천관 동촌유원지점
아양짚 동촌유원지점,NaN,대구 동구 효동로2길 29 1층 아양짚
원조돼지갈비찜,4.38,대구 동구 해동로 186 원조 돼지 갈비찜
더뷔페 앳 인터불고,4.54,대구 수성구 팔현길 212 호텔인터불고
내안에,4.29,대구 수성구 무학로 85 내안에
패대기 들안길점,4.85,대구 수성구 들안로 51-1 1층
카이젠,NaN,대구 수성구 수성못2길 39 1층
아티코,4.9,대구 수성구 지범로 43-12
화로38 수성못점,NaN,대구 수성구 수성못2길 55-1 4층
마담에뽀끄 대구수성못점,NaN,대구 수성구 수성못2길 21 2층 MADAM EPOQUE
먼데이오프플리즈 대구,NaN,"대구 수성구 수성못2길 27-5 1층, 2층"
꽃피는화덕피자D485 대구수성못점,4.55,대구 수성구 용학로 111
용지봉,4.34,대구 수성구 들안로 9
소수미반상,4.46,대구 수성구 수성못2길 55 2층 소수미반상
블랙타코앤그릴,4.53,대구 중구 공평로 31 건물 2층
빠레뜨한남 대구 동성로점,NaN,대구 중구 동성로2길 58 2층 빠레뜨한남
머꼬삼겹살,4.78,대구 중구 동성로3길 32-43 1층
몽블랑드파리,NaN,대구 중구 동성로6길 21
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층
노팅힐커피하우스,NaN,대구 중구 명륜로23길 56 1층
사석,NaN,대구 중구 중앙대로 375 YMCA 건물 1층 사석
오무하무 동성로점,NaN,대구 중구 동성로3길 5 2층
보난자카츠,NaN,대구 중구 달구벌대로446길 28 1층
왕거미식당,4.42,대구 중구 국채보상로 696-8
카이젠,NaN,대구 수성구 수성못2길 39 1층
아티코,4.9,대구 수성구 지범로 43-12
화로38 수성못점,NaN,대구 수성구 수성못2길 55-1 4층
마담에뽀끄 대구수성못점,NaN,대구 수성구 수성못2길 21 2층 MADAM EPOQUE
용지봉,4.34,대구 수성구 들안로 9
먼데이오프플리즈 대구,NaN,"대구 수성구 수성못2길 27-5 1층, 2층"
꽃피는화덕피자D485 대구수성못점,4.55,대구 수성구 용학로 111
수성못 스펠바운드 레스토랑,4.34,대구 수성구 용학로 106-5 2층
소수미반상,4.46,대구 수성구 수성못2길 55 2층 소수미반상
푸나왈라,4.63,대구 수성구 수성못2길 3 3층
사석,NaN,대구 중구 중앙대로 375 YMCA 건물 1층 사석
경희식당,4.34,대구 중구 큰장로28길 25
수주식당,4.51,대구 중구 중앙대로81길 58 1층 수주식당
몽블랑드파리,NaN,대구 중구 동성로6길 21
구공탄막창,NaN,대구 서구 국채보상로 308 1층
유창반점,NaN,대구 중구 명륜로 20 1층
빠레뜨한남 대구 동성로점,NaN,대구 중구 동성로2길 58 2층 빠레뜨한남
신라식당,4.39,대구 중구 중앙대로 406-8
삼미찜갈비 서문시장점,4.2,대구 중구 큰장로28길 25
태능집,4.44,대구 중구 달성로22길 86
애하인앞산,NaN,대구 남구 용두2길 26 1층
봉수낙지,4.5,대구 남구 대명로14길 112
이디야커피 대구어린이세상점,NaN,대구 수성구 동대구로 176 지하1층
라헬의부엌 분당점,NaN,"경기 성남시 분당구 수내로 39 1층 120-2, 121호"
Sov 무국적술집,NaN,"경기 성남시 분당구 황새울로360번길 24 203~4호(서현동, 대명코 아)"
스타벅스 대구228중앙공원점,4.61,대구 중구 동성로2길 95
양춘회,NaN,대구 중구 경상감영1길 13 1층
밤새먹소 걸포중앙공원점,4.48,경기 김포시 걸포로 94 1층밤새먹소
카페 태평살롱,NaN,대구 중구 서성로14길 84 1층
꽃피는닭갈비 권선중앙공원,NaN,경기 수원시 권선구 권중로56번길 2 1층
스타벅스 간석중앙공원DT점,4.45,인천 남동구 경인로 563
BHC치킨 산본중앙공원점,4.43,경기 군포시 산본로386번길 5-7
커피빈 화정중앙공원점,4.45,경기 고양시 덕양구 화신로260번길 26 동민프라자빌딩
뜨돈 테크노점,4.5,대구 달성군 유가읍 테크노상업로 98 비슬타워 201호
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길 109 슬로우스톤
국밥슐랭,4.59,대구 달성군 유가읍 테크노순환로12길 4 1층
오르망,4.45,대구 달성군 유가읍 휴양림길 215 오르망 카페
유가네닭갈비 대구현풍점,4.53,대구 달성군 유가읍 테크노상업로4길 8-7 유가네닭갈비 대구현풍점
어물전 현풍점,NaN,대구 달성군 유가읍 테크노순환로12길 33 1층 103~106호
갈비만 현풍테크노폴리스 직영점,4.61,대구 달성군 유가읍 테크노상업로 110 2층
오봉집 현풍점,NaN,"대구 달성군 유가읍 테크노상업로4길 17-5 1층 103, 104호"
나폴리언덕,NaN,대구 달성군 유가읍 테크노순환로12길 33
박대박왕소금구이,4.61,대구 달성군 유가읍 테크노상업로4길 14
고향식당,4.3,대구 동구 팔공산로185길 63
올라오니,NaN,"대구 동구 팔공산로185길 60 1층, 2층 올라오니"
산중식당 팔공산본점,4.33,대구 동구 팔공산로185길 55 1층
올바릇 나사리식당,NaN,대구 동구 팔공산로 1179 1층~3층
산채식당,4.38,대구 동구 팔공산로185길 72
탑골식당,4.49,대구 동구 동화사2길 21-7 1층
수다레스토랑,4.59,대구 동구 동화사2길 21-10
째미핑거,4.59,대구 동구 팔공산로 1165-7
티아이티에프,NaN,대구 동구 팔공산로 1169
가원식당,4.84,대구 동구 팔공산로199길 6-3 가원식당
율하체육공원푸드트럭허가구역,NaN,대구 동구 금호강변로 278
일등한우 율하점,NaN,대구 동구 안심로22길 60-13 광장프라자2
콩카페 대구동성로로데오점,NaN,대구 중구 동성로5길 45 2층
카페모미,NaN,대구 동구 옻골로 179 카페모미
카페회낭,NaN,대구 동구 옻골로 187 1층
설악항 호섭이네 11호,4.35,강원 속초시 동해대로 3666 설악항활어회센터 11호 호섭이네횟집
커피마시로,NaN,경북 포항시 북구 환호공원길 19 1층
용문촌두부,NaN,대구 달성군 화원읍 마비정길 259
성주곱창막창,4.44,대구 남구 대명로36길 63 성주곱창막창
조조칼국수 앞산점,4.53,대구 남구 현충로15길 13-1
홍림곱창,4.09,대구 남구 대명로36길 58
똔똔이곱창막창,4.48,대구 남구 대명로36길 71-2
핑퐁스낵,4.47,대구 남구 대명동 872-20
더크,4.83,대구 남구 안골길 42
읍천리382 본점,4.51,대구 남구 안골길 17-1
안지곱창막창,4.55,대구 남구 대명로36길 63
도리도프,4.55,대구 남구 안골길 57
월포리91,4.57,대구 남구 안골1길 38
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언
동이식당,4.4,대구 달서구 한실로6길 165-7
롤링핀 대구수목원점,NaN,대구 달서구 한실로6길 158
킹콩 G.C점,NaN,대구 달서구 화암로 322 1~2층
스타벅스 대구수목원점,4.51,대구 달서구 화암로 379
길섶한우 대곡점,4.64,대구 달서구 명천로 43 길섶한우
샤브향 대구수목원점,4.45,대구 달서구 화암로 323
하루부엌,4.57,대구 달서구 화암로71길 19 하루부엌
일공공샤브 대구수목원점,4.38,대구 달서구 화암로 331
오복반점,4.43,대구 달성군 화원읍 명천로 146
"엔엘리오카페,베이커리,레스토랑",4.43,대구 달성군 논공읍 비슬로 1137 엔엘리오 커피앤브레드
강나들이,4.3,대구 달성군 논공읍 비슬로 1109
영서실링진미식당,NaN,대구 달성군 논공읍 약산덧재길 14
통달배 논공점,NaN,대구 달성군 논공읍 논공로 852-4
바다친구,4.79,대구 달성군 논공읍 논공로9길 7
공원기사식당,4.32,대구 달성군 논공읍 논공로 852-8
명갈비,NaN,대구 달성군 논공읍 논공로9길 13
찜닭상회,NaN,대구 달성군 논공읍 논공로5길 57
피자치크,NaN,대구 달성군 논공읍 논공로7길 26-13
요이땅치킨 논공점,NaN,대구 달성군 논공읍 논공로5길 63
돈가스튀기는오빠 본점,NaN,대구 동구 팔공로51길 41 정욱빌딩 1층
한상바다 봉무본점,4.52,대구 동구 팔공로51길 15-13
개정 이시아폴리스점,4.45,대구 동구 팔공로53길 77-2
농부,4.5,대구 동구 팔공로51길 41 정욱빌딩2층 농부레스토랑
한끼맛있다 이시아폴리스점,4.42,대구 동구 팔공로51길 31-10
명륜진사갈비 대구 이시아폴리스점,NaN,대구 동구 팔공로51길 15-8 2층
해운대연탄생갈비 대구이시아폴리스점,NaN,대구 동구 팔공로51길 15-7 105호
메콩타이 이시아폴리스점,4.56,대구 동구 팔공로51길 15-8 101호
행복한초밥,4.52,대구 동구 팔공로51길 11 1층 114호 행복한초밥
백리향,4.43,대구 동구 팔공로 250 129호
양춘회,NaN,대구 중구 경상감영1길 13 1층
차방책방,4.89,대구 중구 경상감영길 60 1층 차방책방
카페 태평살롱,NaN,대구 중구 서성로14길 84 1층
민물장어 직판장 풍천관 본점,4.89,대구 달서구 월곡로 268-10 풍천관 본점
돼지만 대구본점,4.62,대구 달서구 상화북로 192
월촌역 청춘삼겹살,4.5,대구 달서구 송현로 40-1 청춘삼겹살
비비당,NaN,대구 달서구 월배로 203 1층 비비당
심야매점 상인동본점,4.4,대구 달서구 월배로 199 1층 심야매점
베를린 에스프레소 바,4.65,대구 달서구 미리샘길 82 1층
가야성,4.37,대구 달서구 월배로83길 7
최윤숙안동생고기뭉티기 본점,4.46,대구 달서구 월곡로47길 28
황금쭈꾸미집 상인점,4.92,대구 달서구 월곡로51길 17 황금쭈꾸미집
샤브20 상인점,NaN,대구 달서구 월배로 227 2층
대구조개창고 대구달서점,4.24,대구 달서구 명천로 43 길섶한우건물 2층
니가아는식당 전골&편백찜 대곡점,4.51,대구 달서구 갈밭로4길 14 1층
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언
롤링핀 대구수목원점,NaN,대구 달서구 한실로6길 158
동이식당,4.4,대구 달서구 한실로6길 165-7
계령식당,4.36,대구 달서구 한실로6길 155-15 1층
부용정 굴비정식,NaN,대구 달서구 한실로6길 164 1층 101호
정코다리 대곡점,4.42,대구 달서구 한실로6길 150 정코다리 대곡점 1층
브리즈 브레드,4.47,대구 달서구 한실로6길 120-25 102호
WANN,4.32,대구 달서구 한실로6길 161
하빈밥집 본점,4.09,대구 달성군 하빈면 하목정길 32 하빈밥집본점
한밤황토집,4.87,대구 군위군 부계면 한밤8길 46-55
카페우즈,NaN,대구 군위군 부계면 한티로 2034
시골밥상,4.24,대구 군위군 부계면 한티로 1903
금레당,NaN,대구 군위군 부계면 한밤5길 20-1
엘아르카 비타 팔공산점,4.72,대구 군위군 부계면 한티로 2030
돌담칼국수,NaN,대구 군위군 부계면 한밤8길 45-8
두향,NaN,대구 군위군 부계면 한티로 2206-37
대흥식당,NaN,대구 군위군 부계면 한티로 2161
플루보,NaN,대구 군위군 부계면 한밤8길 143-3
카페푸른달,4.4,대구 군위군 부계면 한티로 1905
포도밭식당,4.48,대구 동구 갓바위로 259
Cafe.803,4.59,경북 경산시 와촌면 갓바위로 550 카페 803
갓바위우리식당,4.35,대구 동구 갓바위로 257
천서리메밀촌,4.35,대구 동구 갓바위로 243-3
갓오브커피,NaN,대구 동구 갓바위로 243-5 갓오브커피
꿀집식당,4.49,대구 동구 갓바위로 256
진선재토속음식전문,4.35,대구 동구 갓바위로 255-10
커피(선본사),4.44,경북 경산시 와촌면 갓바위로81길 176-64
산골식당,NaN,대구 동구 갓바위로 255-4
건강밥상군불로,NaN,대구 동구 갓바위로 244
선비꼬마김밥 각산비나리공원점,NaN,대구 동구 이노밸리로 162 105호
곳카페,4.54,대구 동구 지묘동 86-5
팔공산 닭갈비,4.59,대구 동구 파계로 154-8
오오키,4.71,대구 동구 신숭겸길 7
아미타,NaN,대구 동구 팔공로 505 1층 아미타카페
팔공로507,NaN,대구 동구 팔공로 507 1층
팔공참한우마실,NaN,대구 동구 팔공로 481
화덕촌 대구지묘점,NaN,대구 동구 신숭겸길 15 지묘동근생 C동 1층
커피팩토리,4.59,대구 동구 팔공로101길 39 커피팩토리
시골보리밥,4.3,대구 동구 파계로 126
숯불바베큐 감탄,4.55,대구 동구 파계로6길 24 1층
모이다식탁 연암공원점,4.72,대구 북구 연암공원로 38
똥집대통령 평화시장본점,4.36,대구 동구 아양로9길 7
더큰본부 똥집 찜닭,4.46,대구 동구 아양로9길 8 1층
똥집을 잘 아는 남자,4.39,대구 동구 아양로9길 3
고인돌,NaN,대구 동구 아양로9길 5 1층고인돌
그놈포차 대구신암점,NaN,대구 동구 아양로 25 1층
신산홍,4.93,대구 동구 아양로7길 12 신암뜨란채 상가108호
경원해물찜 범어점,NaN,경남 양산시 물금읍 범구5길 22 1층
써브웨이 화성송산그린시티,NaN,"경기 화성시 수노을중앙로 130 1층 104, 105호"
앞산구움미학,NaN,대구 남구 안지랑로15길 52-1 1층 101호
화덕꽃피자,NaN,대구 남구 앞산순환로 397 1층
현짬뽕,4.55,대구 남구 대봉로 89
조조칼국수 앞산점,4.53,대구 남구 현충로15길 13-1
오무하무,NaN,대구 남구 안지랑로 21 1층 오무하무
앞산 큰골집 본점,4.75,대구 남구 큰골길 35 앞산큰골집
고바카츠,NaN,대구 남구 현충로 41-1 1층
브리에브레드,NaN,대구 남구 현충로7길 7 1층
지환이네왕족발 본점,4.68,대구 남구 대명복개로 96
크래프터,4.53,대구 남구 현충로 41-3
청밭추어탕 만촌점,NaN,대구 수성구 만촌로 142 1층(만촌동)
묘운,NaN,대구 달성군 하빈면 육신사길 34 1층
전통맛손칼국수,NaN,대구 달성군 하빈면 묘동길 205
카페투고,NaN,대구 달성군 하빈면 육신사길 3
윤이푸드,NaN,대구 달성군 하빈면 하산4길 77
