장소,별점,주소,수정된 주소,위도,경도
올바릇 나사리식당,,대구 동구 팔공산로 1179 1층~3층,대구 동구 팔공산로 1179,35.9671985,128.6988235
산채식당,4.38,대구 동구 팔공산로185길 72,대구 동구 팔공산로185길 72,35.9903119,128.6944005
산중식당 팔공산본점,4.33,대구 동구 팔공산로185길 55 1층,대구 동구 팔공산로185길 55,35.9903119,128.6944005
올바릇 나사리식당,,대구 동구 팔공산로 1179 1층~3층,대구 동구 팔공산로 1179,35.9671985,128.6988235
산채식당,4.38,대구 동구 팔공산로185길 72,대구 동구 팔공산로185길 72,35.9903119,128.6944005
탑골식당,4.49,대구 동구 동화사2길 21-7 1층,대구 동구 동화사2길 21-7,35.9906542,128.6987601
째미핑거,4.59,대구 동구 팔공산로 1165-7,대구 동구 팔공산로 1165-7,35.9671985,128.6988235
티아이티에프,,대구 동구 팔공산로 1169,대구 동구 팔공산로 1169,35.9671985,128.6988235
수다레스토랑,4.59,대구 동구 동화사2길 21-10,대구 동구 동화사2길 21-10,35.9906542,128.6987601
가원식당,4.84,대구 동구 팔공산로199길 6-3 가원식당,대구 동구 팔공산로199길 6-3,35.9888968,128.6955486
동백 팔공산화본역점,4.8,대구 군위군 산성면 산성가음로 711-6,대구 군위군 산성면 산성가음로,36.1053877,128.7089894
효령매운탕,4.54,대구 군위군 효령면 치산효령로 2267-8,대구 군위군 효령면 치산효령로,36.12484,128.62019
Camellia,,대구 군위군 산성면 산성가음로 711,대구 군위군 산성면 산성가음로,36.1053877,128.7089894
추추,,경북 의성군 금성면 탑리5길 34,경북 의성군 금성면 탑리5길,36.2594822,128.6817774
올더플레이트 동성로점,4.76,대구 중구 동성로3길 77 2층,대구 중구 동성로3길 77,35.8688714,128.59806275948276
하이타이,,대구 중구 공평로 53 1층 하이타이,대구 중구 공평로 53,35.86883735,128.59975885
참숯삼인조 종로직영점,,대구 중구 중앙대로81길 53 1층,대구 중구 중앙대로81길 53,35.869509,128.5894659
배배꼬 동성로점,,대구 중구 동성로6길 76 1층,대구 중구 동성로6길 76,35.8691016,128.5952997
사파키친,4.59,대구 동구 동부로34길 10 사파키친,대구 동구 동부로34길 10,35.873131,128.6334272
모닥 동대구점,4.82,대구 동구 동부로34길 6 모닥 1층,대구 동구 동부로34길 6,35.873131,128.6334272
심지,,대구 동구 동부로32길 14,대구 동구 동부로32길 14,35.8723995,128.6297391
딤딤섬 신세계백화점대구점,4.48,대구 동구 동부로 149 대구신세계백화점 9층,대구 동구 동부로 149,35.8765658,128.6262441
라일락식탁,,대구 동구 동부로32길 1 2층,대구 동구 동부로32길 1,35.8723995,128.6297391
연화,4.65,대구 동구 동부로34길 3 연화,대구 동구 동부로34길 3,35.873131,128.6334272
인문공학,4.45,대구 동구 동부로 156 인문공학 동대구,대구 동구 동부로 156,35.877103700000006,128.62941406338211
바비레드 신세계백화점 대구점,4.43,대구 동구 동부로 149 신세계백화점 대구점 지하 1층,대구 동구 동부로 149,35.8765658,128.6262441
피에프창 신세계백화점동대구점,4.65,대구 동구 동부로 149 신세계 백화점 8층,대구 동구 동부로 149,35.8765658,128.6262441
프랭크프랭크,4.54,대구 동구 동부로32길 20-1,대구 동구 동부로32길 20-1,35.8723995,128.6297391
도리신닭도리탕 대명점,,대구 남구 중앙대로31길 161 도리신 닭도리탕,대구 남구 중앙대로31길 161,35.8512541,128.5861679
기장아나고,4.45,대구 남구 두류공원로 108-4,대구 남구 두류공원로 108-4,35.8393762,128.5762463
뉴욕뉴욕 바이 켄싱턴,,대구 달서구 두류공원로 200 이월드 83타워 78층,대구 달서구 두류공원로 200,35.8522393,128.5623122
애슐리퀸즈 대구이월드점,,대구 달서구 두류공원로 200 83타워 1층 애슐리퀸즈,대구 달서구 두류공원로 200,35.8522393,128.5623122
오얏,4.71,대구 달서구 야외음악당로 287-1,대구 달서구 야외음악당로 287-1,35.852886,128.5563537
석뚜껑 삼겹살 두류점,4.51,대구 달서구 파도고개로 202 1층,대구 달서구 파도고개로 202,35.8543331,128.5702587
피자몰 대구이월드점,4.43,대구 달서구 두류공원로 200 스타벅스 옆,대구 달서구 두류공원로 200,35.8522393,128.5623122
윤포차,4.38,대구 달서구 파도고개로 190 1층 윤포차,대구 달서구 파도고개로 190,35.8543331,128.5702587
웨이브콜,,대구 달서구 파도고개로 115 1층,대구 달서구 파도고개로 115,35.8543331,128.5702587
몽짬뽕 달서구직영점,4.35,대구 달서구 야외음악당로 277 1층,대구 달서구 야외음악당로 277,35.8559894,128.5629602
봉수낙지,4.5,대구 남구 대명로14길 112,대구 남구 대명로14길 112,35.8360299,128.5647884
사조회참치,,대구 서구 달서천로57길 37 1층 사조회참치,대구 서구 달서천로57길 37,35.887716,128.5644308
백색라이브,,대구 서구 국채보상로 238 지하 백색7080라이브,대구 서구 국채보상로 238,35.8721556,128.5684852
사석,,대구 중구 중앙대로 375 YMCA 건물 1층 사석,대구 중구 중앙대로 375,35.8579739,128.5922977
수주식당,4.51,대구 중구 중앙대로81길 58 1층 수주식당,대구 중구 중앙대로81길 58,35.869509,128.5894659
경희식당,4.34,대구 중구 큰장로28길 25,대구 중구 큰장로28길 25,35.8698024,128.5811669
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
구공탄막창,,대구 서구 국채보상로 308 1층,대구 서구 국채보상로 308,35.8721556,128.5684852
빠레뜨한남 대구 동성로점,,대구 중구 동성로2길 58 2층 빠레뜨한남,대구 중구 동성로2길 58,35.8667277,128.5963147
유창반점,,대구 중구 명륜로 20 1층,대구 중구 명륜로 20,35.8616487,128.5915426
신라식당,4.39,대구 중구 중앙대로 406-8,대구 중구 중앙대로 406-8,35.8579739,128.5922977
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언,대구 달서구 한실로6길 158-3,35.7971293,128.5289789
롤링핀 대구수목원점,,대구 달서구 한실로6길 158,대구 달서구 한실로6길 158,35.7971293,128.5289789
뜨돈 진천본점,4.49,대구 달서구 진천로9길 30,대구 달서구 진천로9길 30,35.8121887,128.5216797
킹콩 G.C점,,대구 달서구 화암로 322 1~2층,대구 달서구 화암로 322,35.803604,128.5132476
동이식당,4.4,대구 달서구 한실로6길 165-7,대구 달서구 한실로6길 165-7,35.79326,128.5299817
계령식당,4.36,대구 달서구 한실로6길 155-15 1층,대구 달서구 한실로6길 155-15,35.7971293,128.5289789
WANN,4.32,대구 달서구 한실로6길 161,대구 달서구 한실로6길 161,35.7971293,128.5289789
하루부엌,4.57,대구 달서구 화암로71길 19 하루부엌,대구 달서구 화암로71길 19,35.8047862,128.5182406
서남왕족발,4.33,대구 달서구 명천로 14,대구 달서구 명천로 14,35.8081882,128.5128354
일공공샤브 대구수목원점,4.38,대구 달서구 화암로 331,대구 달서구 화암로 331,35.803604,128.5132476
디어원케이크,,대구 수성구 교학로4길 10,대구 수성구 교학로4길 10,35.8551174,128.6504229
울진대게 본점,4.45,대구 수성구 명덕로 450-1 울진대게,대구 수성구 명덕로 450-1,35.8542158,128.6171196
류센소 범어점,,대구 수성구 달구벌대로496길 5 1층 류센소 범어점,대구 수성구 달구벌대로496길 5,35.8566047,128.63287057333307
리안,4.48,대구 수성구 교학로4길 48,대구 수성구 교학로4길 48,35.8552695,128.6503641
후꾸스시,4.55,대구 수성구 동대구로20길 66 후꾸,대구 수성구 동대구로20길 66,35.8382449,128.6271424
에폰베이크샵,,대구 수성구 범어로24길 14 1층,대구 수성구 범어로24길 14,35.8602161,128.6365226
공주얼큰이칼국수,,대구 수성구 범어천로 49 공주얼큰이칼국수,대구 수성구 범어천로 49,35.8639354,128.6187968
황금돗소리,,대구 수성구 범어천로 22 . 1층(황금동) 황금돗소리,대구 수성구 범어천로 22,35.8639354,128.6187968
오스테리아밀즈,4.55,대구 수성구 동원로1길 26 1층,대구 수성구 동원로1길 26,35.8597497,128.6391095
고미텐,4.63,대구 수성구 동원로 6 1층,대구 수성구 동원로 6,35.862711,128.6396811
광장코아 물음표 soju & beer 본점,,대구 달서구 달구벌대로344길 46,대구 달서구 달구벌대로344길 46,35.8555764,128.5532568
bistro053,,대구 달서구 당산로38길 13 1층,대구 달서구 당산로38길 13,35.8535733,128.5498885
현짬뽕,4.55,대구 남구 대봉로 89,대구 남구 대봉로 89,35.8532211,128.6029356
조조칼국수 죽전직영점,4.52,대구 달서구 와룡로 169,대구 달서구 와룡로 169,35.8435651,128.5370638
상무초밥 죽전점,,"대구 달서구 와룡로 169 상가 103동 109, 110호",대구 달서구 와룡로 169,35.8435651,128.5370638
해풍해물칼국수 대구본점,4.57,대구 달서구 야외음악당로39안길 8,대구 달서구 야외음악당로39안길 8,35.8528215,128.5525394
달고떡볶이,4.45,대구 달서구 야외음악당로39길 54 삼정그린빌상가 113동 107호,대구 달서구 야외음악당로39길 54,35.8538031,128.5548342
제주곤이칼국수 대구죽전점,,대구 달서구 달구벌대로 1546 1층,대구 달서구 달구벌대로 1546,35.8514798,128.5410689
푸른회식당,4.46,대구 서구 달구벌대로375길 14-1,대구 서구 달구벌대로375길 14-1,35.8630316,128.5702204
정성순대 대구죽전점,,"대구 달서구 와룡로 169 상가 107동 106, 107호",대구 달서구 와룡로 169,35.8435651,128.5370638
몽돌매운간장닭발&치킨,,대구 동구 효동로6길 30 2층(효목동),대구 동구 효동로6길 30,35.8793815,128.6546749
블루샥 대구 효목점,4.52,대구 동구 효목로 20-1 1층 블루샥 효목점,대구 동구 효목로 20-1,35.8770827,128.6397481
청담한쭈꾸미,,대구 동구 효동로2길 47-7,대구 동구 효동로2길 47-7,35.8805196,128.6528605
로렐트리 동촌유원지 본점,4.71,대구 동구 효동로6길 122 로렐트리,대구 동구 효동로6길 122,35.8793815,128.6546749
마루막창 대구동촌유원지점,4.4,대구 동구 효동로2길 33-7 1층 마루막창 동촌점,대구 동구 효동로2길 33-7,35.8805196,128.6528605
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57 인스퍼레이션디 동촌유원지,대구 동구 효동로6길 57,35.8793815,128.6546749
민물장어 직판장 풍천관 동촌유원지점,,대구 동구 효동로2길 47-7 2층 풍천관 동촌유원지점,대구 동구 효동로2길 47-7,35.8805196,128.6528605
아양짚 동촌유원지점,,대구 동구 효동로2길 29 1층 아양짚,대구 동구 효동로2길 29,35.8805196,128.6528605
원조돼지갈비찜,4.38,대구 동구 해동로 186 원조 돼지 갈비찜,대구 동구 해동로 186,35.8964546,128.6389103
더뷔페 앳 인터불고,4.54,대구 수성구 팔현길 212 호텔인터불고,대구 수성구 팔현길 212,35.8634775,128.6724827
내안에,4.29,대구 수성구 무학로 85 내안에,대구 수성구 무학로 85,35.8296845,128.6168175
패대기 들안길점,4.85,대구 수성구 들안로 51-1 1층,대구 수성구 들안로 51-1,35.8411811,128.6173904
카이젠,,대구 수성구 수성못2길 39 1층,대구 수성구 수성못2길 39,35.8268423,128.6233599
아티코,4.9,대구 수성구 지범로 43-12,대구 수성구 지범로 43-12,35.82702,128.62757
화로38 수성못점,,대구 수성구 수성못2길 55-1 4층,대구 수성구 수성못2길 55-1,35.8268423,128.6233599
마담에뽀끄 대구수성못점,,대구 수성구 수성못2길 21 2층 MADAM EPOQUE,대구 수성구 수성못2길 21,35.8268423,128.6233599
먼데이오프플리즈 대구,,"대구 수성구 수성못2길 27-5 1층, 2층",대구 수성구 수성못2길 27-5,35.8268423,128.6233599
꽃피는화덕피자D485 대구수성못점,4.55,대구 수성구 용학로 111,대구 수성구 용학로 111,35.822718,128.6393846
용지봉,4.34,대구 수성구 들안로 9,대구 수성구 들안로 9,35.8411811,128.6173904
소수미반상,4.46,대구 수성구 수성못2길 55 2층 소수미반상,대구 수성구 수성못2길 55,35.8268423,128.6233599
블랙타코앤그릴,4.53,대구 중구 공평로 31 건물 2층,대구 중구 공평로 31,35.8739593,128.6014294
빠레뜨한남 대구 동성로점,,대구 중구 동성로2길 58 2층 빠레뜨한남,대구 중구 동성로2길 58,35.8667277,128.5963147
머꼬삼겹살,4.78,대구 중구 동성로3길 32-43 1층,대구 중구 동성로3길 32-43,35.8664398,128.5983398
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층,대구 중구 달구벌대로445길 26-5,35.8643327,128.6078914
노팅힐커피하우스,,대구 중구 명륜로23길 56 1층,대구 중구 명륜로23길 56,35.861698,128.5960448
사석,,대구 중구 중앙대로 375 YMCA 건물 1층 사석,대구 중구 중앙대로 375,35.8579739,128.5922977
오무하무 동성로점,,대구 중구 동성로3길 5 2층,대구 중구 동성로3길 5,35.8678877,128.597894
보난자카츠,,대구 중구 달구벌대로446길 28 1층,대구 중구 달구벌대로446길 28,35.8617093,128.6058585
왕거미식당,4.42,대구 중구 국채보상로 696-8,대구 중구 국채보상로 696-8,35.8694898,128.609113
카이젠,,대구 수성구 수성못2길 39 1층,대구 수성구 수성못2길 39,35.8268423,128.6233599
아티코,4.9,대구 수성구 지범로 43-12,대구 수성구 지범로 43-12,35.82702,128.62757
화로38 수성못점,,대구 수성구 수성못2길 55-1 4층,대구 수성구 수성못2길 55-1,35.8268423,128.6233599
마담에뽀끄 대구수성못점,,대구 수성구 수성못2길 21 2층 MADAM EPOQUE,대구 수성구 수성못2길 21,35.8268423,128.6233599
용지봉,4.34,대구 수성구 들안로 9,대구 수성구 들안로 9,35.8411811,128.6173904
먼데이오프플리즈 대구,,"대구 수성구 수성못2길 27-5 1층, 2층",대구 수성구 수성못2길 27-5,35.8268423,128.6233599
꽃피는화덕피자D485 대구수성못점,4.55,대구 수성구 용학로 111,대구 수성구 용학로 111,35.822718,128.6393846
수성못 스펠바운드 레스토랑,4.34,대구 수성구 용학로 106-5 2층,대구 수성구 용학로 106-5,35.822718,128.6393846
소수미반상,4.46,대구 수성구 수성못2길 55 2층 소수미반상,대구 수성구 수성못2길 55,35.8268423,128.6233599
푸나왈라,4.63,대구 수성구 수성못2길 3 3층,대구 수성구 수성못2길 3,35.8268423,128.6233599
사석,,대구 중구 중앙대로 375 YMCA 건물 1층 사석,대구 중구 중앙대로 375,35.8579739,128.5922977
경희식당,4.34,대구 중구 큰장로28길 25,대구 중구 큰장로28길 25,35.8698024,128.5811669
수주식당,4.51,대구 중구 중앙대로81길 58 1층 수주식당,대구 중구 중앙대로81길 58,35.869509,128.5894659
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
구공탄막창,,대구 서구 국채보상로 308 1층,대구 서구 국채보상로 308,35.8721556,128.5684852
유창반점,,대구 중구 명륜로 20 1층,대구 중구 명륜로 20,35.8616487,128.5915426
빠레뜨한남 대구 동성로점,,대구 중구 동성로2길 58 2층 빠레뜨한남,대구 중구 동성로2길 58,35.8667277,128.5963147
신라식당,4.39,대구 중구 중앙대로 406-8,대구 중구 중앙대로 406-8,35.8579739,128.5922977
삼미찜갈비 서문시장점,4.2,대구 중구 큰장로28길 25,대구 중구 큰장로28길 25,35.8698024,128.5811669
태능집,4.44,대구 중구 달성로22길 86,대구 중구 달성로22길 86,35.8744734,128.5877628
봉수낙지,4.5,대구 남구 대명로14길 112,대구 남구 대명로14길 112,35.8360299,128.5647884
이디야커피 대구어린이세상점,,대구 수성구 동대구로 176 지하1층,대구 수성구 동대구로 176,35.84766765,128.62803623953005
라헬의부엌 분당점,,"경기 성남시 분당구 수내로 39 1층 120-2, 121호",경기 성남시 분당구 수내로,37.3710376,127.1266176
Sov 무국적술집,,"경기 성남시 분당구 황새울로360번길 24 203~4호(서현동, 대명코 아)",경기 성남시 분당구 황새울로360번길,37.3863737,127.1254126
스타벅스 대구228중앙공원점,4.61,대구 중구 동성로2길 95,대구 중구 동성로2길 95,35.87015465,128.59686578563526
양춘회,,대구 중구 경상감영1길 13 1층,대구 중구 경상감영1길 13,35.8717842,128.5930285
밤새먹소 걸포중앙공원점,4.48,경기 김포시 걸포로 94 1층밤새먹소,경기 김포시 걸포로 94,37.6355792,126.7049095
카페 태평살롱,,대구 중구 서성로14길 84 1층,대구 중구 서성로14길 84,35.8729487,128.588674
꽃피는닭갈비 권선중앙공원,,경기 수원시 권선구 권중로56번길 2 1층,경기 수원시 권선구 권중로56번길,37.2528896,127.0289081
스타벅스 간석중앙공원DT점,4.45,인천 남동구 경인로 563,인천 남동구 경인로 563,37.4730831,126.7090983
BHC치킨 산본중앙공원점,4.43,경기 군포시 산본로386번길 5-7,경기 군포시 산본로386번길 5-7,37.3678103,126.9333141
커피빈 화정중앙공원점,4.45,경기 고양시 덕양구 화신로260번길 26 동민프라자빌딩,경기 고양시 덕양구 화신로260번길,37.6325472,126.8328767
뜨돈 테크노점,4.5,대구 달성군 유가읍 테크노상업로 98 비슬타워 201호,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길 109 슬로우스톤,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
국밥슐랭,4.59,대구 달성군 유가읍 테크노순환로12길 4 1층,대구 달성군 유가읍 테크노순환로12길,35.7017595,128.4936581
오르망,4.45,대구 달성군 유가읍 휴양림길 215 오르망 카페,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
유가네닭갈비 대구현풍점,4.53,대구 달성군 유가읍 테크노상업로4길 8-7 유가네닭갈비 대구현풍점,대구 달성군 유가읍 테크노상업로4길,35.6929458,128.4594384
어물전 현풍점,,대구 달성군 유가읍 테크노순환로12길 33 1층 103~106호,대구 달성군 유가읍 테크노순환로12길,35.7017595,128.4936581
갈비만 현풍테크노폴리스 직영점,4.61,대구 달성군 유가읍 테크노상업로 110 2층,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
오봉집 현풍점,,"대구 달성군 유가읍 테크노상업로4길 17-5 1층 103, 104호",대구 달성군 유가읍 테크노상업로4길,35.6929458,128.4594384
나폴리언덕,,대구 달성군 유가읍 테크노순환로12길 33,대구 달성군 유가읍 테크노순환로12길,35.7017595,128.4936581
박대박왕소금구이,4.61,대구 달성군 유가읍 테크노상업로4길 14,대구 달성군 유가읍 테크노상업로4길,35.6929458,128.4594384
고향식당,4.3,대구 동구 팔공산로185길 63,대구 동구 팔공산로185길 63,35.9903119,128.6944005
올라오니,,"대구 동구 팔공산로185길 60 1층, 2층 올라오니",대구 동구 팔공산로185길 60,35.9903119,128.6944005
산중식당 팔공산본점,4.33,대구 동구 팔공산로185길 55 1층,대구 동구 팔공산로185길 55,35.9903119,128.6944005
올바릇 나사리식당,,대구 동구 팔공산로 1179 1층~3층,대구 동구 팔공산로 1179,35.9671985,128.6988235
산채식당,4.38,대구 동구 팔공산로185길 72,대구 동구 팔공산로185길 72,35.9903119,128.6944005
탑골식당,4.49,대구 동구 동화사2길 21-7 1층,대구 동구 동화사2길 21-7,35.9906542,128.6987601
수다레스토랑,4.59,대구 동구 동화사2길 21-10,대구 동구 동화사2길 21-10,35.9906542,128.6987601
째미핑거,4.59,대구 동구 팔공산로 1165-7,대구 동구 팔공산로 1165-7,35.9671985,128.6988235
티아이티에프,,대구 동구 팔공산로 1169,대구 동구 팔공산로 1169,35.9671985,128.6988235
가원식당,4.84,대구 동구 팔공산로199길 6-3 가원식당,대구 동구 팔공산로199길 6-3,35.9888968,128.6955486
율하체육공원푸드트럭허가구역,,대구 동구 금호강변로 278,대구 동구 금호강변로 278,35.869654,128.6861292
일등한우 율하점,,대구 동구 안심로22길 60-13 광장프라자2,대구 동구 안심로22길 60-13,35.8630575,128.6959865
콩카페 대구동성로로데오점,,대구 중구 동성로5길 45 2층,대구 중구 동성로5길 45,35.8673876,128.5977543
카페모미,,대구 동구 옻골로 179 카페모미,대구 동구 옻골로 179,35.8988194,128.6840907
카페회낭,,대구 동구 옻골로 187 1층,대구 동구 옻골로 187,35.898037,128.6834838
설악항 호섭이네 11호,4.35,강원 속초시 동해대로 3666 설악항활어회센터 11호 호섭이네횟집,강원 속초시 동해대로 3666,38.2214467,128.5642352
커피마시로,,경북 포항시 북구 환호공원길 19 1층,경북 포항시 북구 환호공원길,36.0682127,129.3950327
용문촌두부,,대구 달성군 화원읍 마비정길 259,대구 달성군 화원읍 마비정길,35.7853706,128.5243673
성주곱창막창,4.44,대구 남구 대명로36길 63 성주곱창막창,대구 남구 대명로36길 63,35.8363589,128.5752928
조조칼국수 앞산점,4.53,대구 남구 현충로15길 13-1,대구 남구 현충로15길 13-1,35.8371707,128.5789842
홍림곱창,4.09,대구 남구 대명로36길 58,대구 남구 대명로36길 58,35.8363589,128.5752928
똔똔이곱창막창,4.48,대구 남구 대명로36길 71-2,대구 남구 대명로36길 71-2,35.8363589,128.5752928
핑퐁스낵,4.47,대구 남구 대명동 872-20,대구 남구 대명동 872-20,35.83873,128.5751
더크,4.83,대구 남구 안골길 42,대구 남구 안골길 42,35.8368029,128.5767763
읍천리382 본점,4.51,대구 남구 안골길 17-1,대구 남구 안골길 17-1,35.8368029,128.5767763
안지곱창막창,4.55,대구 남구 대명로36길 63,대구 남구 대명로36길 63,35.8363589,128.5752928
도리도프,4.55,대구 남구 안골길 57,대구 남구 안골길 57,35.8368029,128.5767763
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언,대구 달서구 한실로6길 158-3,35.7971293,128.5289789
동이식당,4.4,대구 달서구 한실로6길 165-7,대구 달서구 한실로6길 165-7,35.79326,128.5299817
롤링핀 대구수목원점,,대구 달서구 한실로6길 158,대구 달서구 한실로6길 158,35.7971293,128.5289789
킹콩 G.C점,,대구 달서구 화암로 322 1~2층,대구 달서구 화암로 322,35.803604,128.5132476
스타벅스 대구수목원점,4.51,대구 달서구 화암로 379,대구 달서구 화암로 379,35.803604,128.5132476
길섶한우 대곡점,4.64,대구 달서구 명천로 43 길섶한우,대구 달서구 명천로 43,35.8082441,128.5124043
샤브향 대구수목원점,4.45,대구 달서구 화암로 323,대구 달서구 화암로 323,35.803604,128.5132476
하루부엌,4.57,대구 달서구 화암로71길 19 하루부엌,대구 달서구 화암로71길 19,35.8047862,128.5182406
일공공샤브 대구수목원점,4.38,대구 달서구 화암로 331,대구 달서구 화암로 331,35.803604,128.5132476
오복반점,4.43,대구 달성군 화원읍 명천로 146,대구 달성군 화원읍 명천로,35.8024075,128.5073996
"엔엘리오카페,베이커리,레스토랑",4.43,대구 달성군 논공읍 비슬로 1137 엔엘리오 커피앤브레드,대구 달성군 논공읍 비슬로,35.7714984,128.4161177
